What is the name of the dog you would like to submit a response for?,What is the gender of {{field:dog_name}},Do you know the age of {{field:dog_name}}?,Please enter the age of {{field:dog_name}} in months:,Did you acquire {{field:dog_name}} between 2 and 6 months?,Did {{field:dog_name}} attend puppy training classes between 2 and 6 months?,What style of training was taught to you and {{field:dog_name}} during class?,Where was puppy training offered?,Did {{field:dog_name}} attend any training classes after 6 months of age?,What style of training was used?,Who trained you and {{field:dog_name}}?,At what age did you complete training {{field:dog_name}}?,Is there at least one situation in which {{field:dog_name}} behaves aggressively?,Who or what has {{field:dog_name}} acted aggressively toward?,Is there at least one situation in which {{field:dog_name}} is fearful or anxious?,What sort of fears and/or anxiety has {{field:dog_name}} had?,Do you consider {{field:dog_name}} to have a problem with jumping up on people?,Who does {{field:dog_name}} jumped up on?,Does {{field:dog_name}} bark excessively?,When has {{field:dog_name}} excessively barked?,Has {{field:dog_name}} ever eaten feces?,What type of feces has {{field:dog_name}} eaten?,Has {{field:dog_name}} ever had any repetitive behaviors?,What sort of repetitive behaviors have you seen with {{field:dog_name}}?,Have you ever had a problem with {{field:dog_name}} soiling in the house?,When has {{field:dog_name}} soiled in the house?,How has {{field:dog_name}} soiled in the house?,Where has {{field:dog_name}} soiled in the house?,Has {{field:dog_name}} ever rolled in repulsive material?,In what repulsive material has {{field:dog_name}} rolled?,Do you consider{{field:dog_name}} to be overactive/hyperactive?,In what ways has {{field:dog_name}} been overactive/hyperactive?,Has {{field:dog_name}} ever exhibited destructive behavior in the home (other than puppy chewing behavior)?,When has {{field:dog_name}} been destructive?,Has {{field:dog_name}} ever run away/escaped?,Which of the following describes how {{field:dog_name}} has run away/escaped?,Have you ever had a problem with {{field:dog_name}} mounting/humping?,Who or what has {{field:dog_name}} mounted/humped?,Would you like to enter information for another dog you own?,id,msg,list,sep,Submitted At,Token
Huckleberry,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,16de20dc9f5d80f41c91adb33c2bb4c7,We have submissions for:,,", ",5/6/2020 12:14:40,5gx0nijy8g8mpnt55gwep8y89q85i2k5
Pepper Potts,Female,Yes,108.0,False,I don't know,,,Yes,Reward based,Myself/family member attended group classes,Continue to practice and use training skills in home,False,,True,"Fear of noises, Separation anxiety",True,"Owners, Familiar people",True,"At triggers (inside), Owners are away, Owners are present, To get attention",True,The feces of other animals,True,Licking of the wrist/hock,True,"Owners are away, Owners are present",Both feces and urine,Specific locations,False,,False,,True,Owner is away,False,,False,,False,16de20dc9f5d80f41c91adb33c2bb4c7,We have submissions for:,,", ",5/6/2020 12:18:34,tw60tk0zpjzmd43tn26eytw60n4iopic
Boyze,Male,Yes,103.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,Continue to practice and use training skills in home,True,"Strangers visiting the home, Strangers away from the home",True,Fear of noises,False,,False,,True,The feces of other animals,False,,False,,,,True,Unknown just stank,False,,False,,False,,False,,False,036a3bb5465fb9cc9f361458e4d2a18c,,, ,5/6/2020 12:31:49,j4b6w9girb86vfz2eij4busem8rqzbdm
Molly,Female,Yes,104.0,False,I don't know,,,Yes,Reward based,Myself/family member attended group classes,Continue to practice and use training skills in home,True,Strangers away from the home,True,Fear of strange men attempting to pet her,False,,False,,False,,False,,False,,,,True,Dead stuff,False,,False,,False,,False,,False,205022797d1405fc85e1521a8bac9731,,, ,5/6/2020 12:31:35,ej9t88yu55ewi1f2f9ej9t89q2qotx6e
Jimmy,Male,Yes,180.0,True,No,,,No,,,,False,,False,,False,,False,,False,,False,,False,,,,False,,False,,False,,False,,False,,False,664d24d9f4c01d6c5ac99d2330f13460,,, ,5/6/2020 12:46:06,wmduu89rynd1im44howmdwvu9l2ymqom
Gypsy,Female,Yes,48.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,"Sent to professional training school/boot camp, Myself/family member attended group classes","Continue to attend classes periodically (nose work, agility, trick training, etc.), Continue to practice and use training skills in home",False,,True,"Fear of noises, Generalized anxiety, Fear of other dogs",False,,False,,True,Dog feces other than their own,False,,False,,,,False,,False,,False,,False,,False,,True,663e902682939a8f36f5a75647b7ce69,,, ,5/6/2020 13:09:39,qdaf68o5p6hc0m0nxipqdanvgsci8apf
Raven,Female,Yes,78.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,"Myself/family member attended group classes, Sent to professional training school/boot camp","Continue to attend classes periodically (nose work, agility, trick training, etc.), Continue to practice and use training skills in home",False,,True,Fear of other dogs,False,,False,,False,,False,,False,,,,False,,False,,False,,False,,True,Inanimate objects,False,663e902682939a8f36f5a75647b7ce69,We have submissions for:,,", ",5/6/2020 13:13:45,7c5w8hqjllarara0bs2s7cqq0988hyke
Blu,Male,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0a139af26004a0028b5bfbae6caf241e,,, ,5/6/2020 13:12:45,3lbsza33twg2xduzw3lbs0f7d6t5nl3h
Samantha,Female,Yes,82.0,False,I don't know,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0a139af26004a0028b5bfbae6caf241e,We have submissions for:,,", ",5/6/2020 13:14:09,bl0oald8ei5shhutly0kbl0oani3ytqe
Alexander,Male,Yes,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,c5629e7bbd4a81525968af0b1e69abda,,, ,5/6/2020 13:19:14,nvuo4yyjdnvtvug1nvuo4pr5mwu5e6bk
Gabby,Female,Yes,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,c5629e7bbd4a81525968af0b1e69abda,We have submissions for:,,", ",5/6/2020 13:19:36,wzjrhssq9b85di7f6twzjrhj3x6we0u9
Captain,Male,Yes,74.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,"18-36 months (social maturity), Continue to practice and use training skills in home, Continue to attend classes periodically (nose work, agility, trick training, etc.)",True,"Unfamiliar dogs in the home, Unfamiliar dogs away from the home",True,Generalized anxiety,False,,False,,False,,False,,False,,,,True,Dead stuff,False,,False,,False,,False,,True,4a0e77c0d496878b9f6328077e43ddf4,,, ,5/6/2020 13:40:35,6qbivcu1xb1ar6k9vzf6qbivc9ynldup
Maverick,Male,Yes,57.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,"18-36 months (social maturity), Continue to practice and use training skills in home",False,,True,Generalized anxiety,False,,True,"At triggers (inside), At triggers (outside), Owners are present",True,Dog feces other than their own,True,Digging in the yard,True,"Owners are present, Owners are away",Both feces and urine,Specific locations,True,Dead stuff,False,,False,,True,"Escapes from home, Returns home after escape",True,"Familiar dogs, Unfamiliar dogs",True,4a0e77c0d496878b9f6328077e43ddf4,We have submissions for:,,", ",5/6/2020 13:43:37,xapznxnrtd5qprqma3xapzn8e1f16bk5
Ace,Male,Yes,33.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,"18-36 months (social maturity), Continue to attend classes periodically (nose work, agility, trick training, etc.), Continue to practice and use training skills in home",True,"Familiar dogs in the home, Unfamiliar dogs in the home",False,,True,"Owners, Familiar people, Stangers",False,,True,Dog feces other than their own,False,,False,,,,True,Dead stuff,False,,False,,True,"Escapes from home, Returns home after escape",True,"Familiar dogs, Inanimate objects",True,4a0e77c0d496878b9f6328077e43ddf4,We have submissions for:,,", ",5/6/2020 13:45:45,2ke8v5siyziikmux2ke0xop0lxlqpdhz
Autumn,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,4a0e77c0d496878b9f6328077e43ddf4,We have submissions for:,,", ",5/6/2020 13:46:02,phyuqnaiz1gmyi8x44phyuq8c82kmx23
Bradley,Male,Yes,157.0,False,I don't know,,,Yes,Reward based,Myself/family member attended group classes,"Continue to attend classes periodically (nose work, agility, trick training, etc.)",True,"Familiar dogs in the home, Unfamiliar dogs in the home, Unfamiliar dogs away from the home",False,,False,,False,,True,"Their own feces, Dog feces other than their own, The feces of other animals",True,Licking of the wrist/hock,True,Owners are away,Both feces and urine,Anywhere,True,Dead stuff,False,,False,,True,"Escapes from home, Escaped when out, Returns home after escape",True,"People, Unfamiliar dogs, Familiar dogs",True,1c510e8824b811cd65b2d5b306ffba05,,, ,5/6/2020 14:48:26,wnn3pw5mo2jtxjldjeownn3pwxqosx5a
Cody,Male,Yes,61.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,"Myself/family member attended group classes, Hired in home private trainer",Continue to practice and use training skills in home,True,"Strangers visiting the home, Strangers away from the home, Unfamiliar dogs away from the home, Animals other than dogs",True,"Fear of crowds, Fear of other dogs, Generalized anxiety, Fear of noises",False,,True,"At triggers (inside), At triggers (outside), Owners are present",False,,False,,False,,,,False,,False,,False,,False,,False,,False,1c510e8824b811cd65b2d5b306ffba05,We have submissions for:,,", ",5/6/2020 14:51:21,fzhavx2yhs23mfzha87vh2786lyo55ie
Stooch,Male,Yes,93.0,False,No,,,No,,,,True,"Strangers visiting the home, Strangers away from the home",True,"Fear of noises, Generalized anxiety",False,,False,,True,The feces of other animals,False,,False,,,,False,,False,,False,,False,,False,,True,ce27690a21ca23dd5c348bc5988324a7,,, ,5/6/2020 16:24:49,8935x8456atwvonupq38935x8573hjy6
Gracie,Female,Yes,85.0,False,No,,,No,,,,False,,False,,False,,False,,True,The feces of other animals,False,,False,,,,False,,False,,False,,False,,False,,True,ce27690a21ca23dd5c348bc5988324a7,We have submissions for:,,", ",5/6/2020 16:26:51,3bvettdsetwazbjg3bvt6xkmp8qdh19b
Grizzly,Female,Yes,72.0,False,No,,,No,,,,False,,False,,False,,False,,True,The feces of other animals,False,,False,,,,False,,False,,False,,False,,False,,False,ce27690a21ca23dd5c348bc5988324a7,We have submissions for:,,", ",5/6/2020 16:28:17,v2y56pya1a4gkgehppzxv2y56pfb81ni
Dusty,Male,Yes,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,9636fa1b66ffe7cd47849befee49645c,,, ,5/6/2020 17:36:04,gml6jh29x2ryjujgml65nr1p6dtrz600
Sunshine,Female,Yes,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,9636fa1b66ffe7cd47849befee49645c,We have submissions for:,,", ",5/6/2020 17:36:51,gsi8g8pysnvkywptx3gsi8grj2iv267h
Aphrodite,Female,Yes,132.0,True,Yes,Discipline based,I don't know,Yes,Mixed balance of both reward and discipline,Sent to professional training school/boot camp,Continue to practice and use training skills in home,True,"Familiar dogs in the home, Unfamiliar dogs away from the home, Animals other than dogs",True,Travel anxiety,False,,False,,False,,False,,True,Rainy day ran out and back in,Both feces and urine,Anywhere,True,"Dead stuff, Garbage",False,,False,,False,,False,,True,24c84b0b41a983231cf072ea2af82084,,, ,5/6/2020 18:22:51,i4pd5iias94eqifdi4pr04p4wtayjj16
Ty,Female,Yes,54.0,False,I don't know,,,Yes,Reward based,Myself/family member attended group classes,Continue to practice and use training skills in home,True,"Strangers visiting the home, Strangers away from the home",True,Fear of veterinary visits,False,,False,,False,,False,,False,,,,False,,False,,False,,False,,False,,False,24c84b0b41a983231cf072ea2af82084,We have submissions for:,,", ",5/6/2020 18:25:29,s2sdsejikqqaa460qvs2sdnpipq5gwte
Rosco,Male,Yes,14.0,True,No,,,No,,,,True,Unfamiliar dogs away from the home,True,Separation anxiety,True,Stangers,False,,True,Their own feces,True,"Licking of the wrist/hock, Tail chasing",False,,,,True,Dead stuff,False,,False,,False,,True,"People, Familiar dogs, Inanimate objects",True,fa3f9a2a0946ca43ff6e7e5daba9cb9f,,, ,5/6/2020 18:52:28,az3pzfclv61e2j88az3p7rp0blnsx165
Reku,Female,Yes,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,fa3f9a2a0946ca43ff6e7e5daba9cb9f,We have submissions for:,,", ",5/6/2020 18:53:07,ypdpm3s1qxyri5ypdpm3s98err9qyx7r
Marcus,Male,Yes,120.0,True,Yes,I don't know,Myself/family member attended group classes,Yes,I don't know,Myself/family member attended group classes,"6 to 18 months (adolescence), Continue to practice and use training skills in home",False,,True,"Fear of thunderstorms, Separation anxiety, Fear of noises, Travel anxiety, Generalized anxiety",False,,True,"At triggers (outside), Owners are present",False,,True,"Licking of the wrist/hock, Tennis ball fetish, Nail biting",False,,,,False,,True,"Easily distracted, Difficulty settling, Impulsiveness",False,,True,"Returns home after escape, Escapes from confinement, Escapes from home, Escaped when out",False,,True,70ccfd619b793fea6f8c1d1aac7c8249,,, ,5/6/2020 19:03:03,uozjjavpoitweuozcfaq14z9t2bm9g5d
Lauren,Female,Yes,96.0,True,No,,,No,,,,False,,True,"Fear of veterinary visits, Fear of thunderstorms, Fear of noises",False,,True,"At triggers (outside), Owners are present, To get attention",True,Their own feces,True,"Licking of the wrist/hock, Digging in the yard, Sucking flank regions/blankets, Collecting/arranging objects, Stone/rock chewing",True,Owners are present,Both feces and urine,Specific locations,True,Dead stuff,False,,True,Owner is present,True,Escaped when out,False,,False,70ccfd619b793fea6f8c1d1aac7c8249,We have submissions for:,,", ",5/6/2020 19:07:58,haix6616ovayshaixjhg4l0fkt4gpv9y
Milo,Male,Yes,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,ac6f73923c9d00542d28341ed39a13cc,,, ,5/6/2020 19:45:10,qo2b1ps9egvsf2jvuf4gf9qo2b1ps94g
Zoe,Female,Yes,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,79b69f528e68e41a88576c811e53d8d3,,, ,5/6/2020 20:14:53,t0mr1u7rqd8gqjffaw0ut0mr1ugjsmpb
Howie,Male,Yes,131.0,False,I don't know,,,Yes,Reward based,Myself/family member attended group classes,"18-36 months (social maturity), Continue to attend classes periodically (nose work, agility, trick training, etc.), Continue to practice and use training skills in home",True,"Unfamiliar dogs away from the home, Familiar dogs away from the home, Animals other than dogs",True,"Fear of veterinary visits, nail trims, his toys that make noise with batteries or movement-squeaky toys are ok",False,,False,,True,The feces of other animals,True,Licking of the wrist/hock,False,,,,False,,False,,True,"Owner is present, Owner is away",True,he will chase an animal then forget to come home,False,,False,b79c8e576e663304d769d57a4412489f,,, ,5/6/2020 20:32:06,6cebv5tzhi8nkk5ksjcqhth6cebv5988
Kwik,Male,Yes,129.0,True,No,,,No,,,,True,"Strangers visiting the home, Familiar dogs in the home",True,"afraid of things dropping on him, or when people step over him",False,,False,,False,,False,,False,,,,True,Dead stuff,False,,False,,False,,False,,True,35cf716a834d4f28e8b7b7846c12b491,,, ,5/6/2020 21:10:05,59muh0eh4odyz5fh6559mugln7eeiexe
Pixxie,Female,Yes,40.0,False,I don't know,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,35cf716a834d4f28e8b7b7846c12b491,We have submissions for:,,", ",5/6/2020 21:10:50,1b78l0fqi9x87rvvkw1b78l0f2cjpju5
Baxter,Male,Yes,60.0,True,No,,,No,,,,True,Strangers visiting the home,False,,False,,False,,False,,True,"Digging in the yard, Licking of the wrist/hock",False,,,,True,Dead stuff,False,,False,,False,,False,,False,b54a9aa0be30c9840f59f972fcea6c09,,, ,5/6/2020 21:43:35,3jv69m3wpkva7rgcqey23jv60wpg61ag
Kevin,Male,Yes,72.0,True,No,,,Yes,Reward based,Myself/family member attended group classes,"18-36 months (social maturity), Continue to practice and use training skills in home",True,"Strangers visiting the home, Familiar dogs in the home, Familiar dogs away from the home, Unfamiliar dogs in the home, Unfamiliar dogs away from the home, Animals other than dogs, Veterinarians",True,"Fear of veterinary visits, Fear of other dogs, Separation anxiety, Generalized anxiety",False,,False,,True,"The feces of other animals, Dog feces other than their own",True,Licking of the wrist/hock,False,,,,True,Dead stuff,False,,True,Owner is present,True,"Escapes from home, Escaped when out",False,,True,1ba1b799c23c608e5bea41f357cc5e27,,, ,5/7/2020 1:31:37,4h9z2k86uzayxsvrmi4h9z2a4caad4ez
Charlie,Male,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,1ba1b799c23c608e5bea41f357cc5e27,We have submissions for:,,", ",5/7/2020 1:32:27,fy3so8shggal2acgvw3esfy3so8sl583
Reilly,Male,Yes,132.0,True,No,,,No,,,,True,Unfamiliar dogs away from the home,True,Separation anxiety,False,,False,,True,The feces of other animals,True,Licking of the wrist/hock,False,,,,False,,False,,True,Owner is away,False,,True,"People, Familiar dogs, Unfamiliar dogs, Inanimate objects",False,c85356f3296c91fd6943d4332f2c73f6,,, ,5/7/2020 5:29:45,fqx90uo43pf0ixys1vfqx90uosyb4rs6
Maya,Female,Yes,138.0,False,I don't know,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,7c6323727df94f0c0644d1a97e36dfa2,,, ,5/7/2020 11:11:22,w0zyxjb3n25q7qa4oxww0zyxjp051psm
Zoe,Female,Yes,25.0,False,No,,,Yes,Reward based,Myself/family member attended group classes,Continue to practice and use training skills in home,True,"Strangers visiting the home, Familiar people in the home, Familiar dogs in the home, Unfamiliar dogs in the home",True,"Fear of noises, Separation anxiety, Travel anxiety, Generalized anxiety",False,,False,,True,Their own feces,True,"Licking of the wrist/hock, Nail biting, Sucking flank regions/blankets, Stone/rock chewing",True,Owners are away,Urine,Specific locations,False,,False,,False,,True,"Escapes from home, Returns home after escape",False,,False,7b0b1a973ae5d58253e50d641d2dd11e,,, ,5/7/2020 14:01:28,5n8s3qfmesin2s8kswc5n8s3yqeulabu
Opie,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,ad6e576248db52880cf3f24eb0919c3e,,, ,5/7/2020 14:45:48,pl156m6un3a5zwzhr88pl156m07bx5oh
Oreo,Female,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,ad6e576248db52880cf3f24eb0919c3e,We have submissions for:,,", ",5/7/2020 14:46:08,poj016bo6mxzfuogfpoj0t16i2w5di3b
Sasha,Female,Yes,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,70cd54d32a3101d4676da1d1cececa99,,, ,5/7/2020 15:21:00,atwt6xzuz5u3quoatwt6x5s22qq9s3rd
JoJo,Female,Yes,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,7e1d9fdd68ac479b7562fe74a3871e25,,, ,5/7/2020 15:27:22,b5yr2274u08ue9epb5y7y7dfrmactkc2
Sydney,Female,Yes,120.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,"Continue to attend classes periodically (nose work, agility, trick training, etc.), Continue to practice and use training skills in home",True,"Strangers visiting the home, Unfamiliar dogs away from the home",True,"Fear of noises, Fear of thunderstorms, Fear of veterinary visits, Fear of crowds",False,,True,At triggers (outside),False,,False,,False,,,,False,,False,,False,,False,,False,,False,3fc1df9bb7e61eb5a8084a5e1a247ed6,,, ,5/7/2020 16:01:45,2l8eysgjbxfxv2w2l8eyynnfm8zhcmop
Hannah,Female,Yes,66.0,True,No,,,Yes,Reward based,Myself/family member attended group classes,"6 to 18 months (adolescence), Continue to practice and use training skills in home",False,,False,,True,Familiar people,False,,True,"Their own feces, Dog feces other than their own",False,,False,,,,False,,False,,False,,False,,False,,True,6e249f0b23bb2cfab269d80cfd277ab0,,, ,5/7/2020 15:46:47,xznixdtpmx32p64dqyxzniiw91yvt8cr
Roosevelt,Male,Yes,42.0,True,Yes,Reward based,Myself/family member attended group classes,No,,,,True,"Familiar dogs in the home, Familiar dogs away from the home, Unfamiliar dogs away from the home",True,Fear of noises,False,,False,,True,"Their own feces, Dog feces other than their own, The feces of other animals",False,,False,,,,False,,False,,False,,False,,False,,False,6e249f0b23bb2cfab269d80cfd277ab0,We have submissions for:,,", ",5/7/2020 15:48:36,la2aal5slgdkxpht8kz6la2aal5smdma
Ivy,Female,Yes,60.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,"6 to 18 months (adolescence), Continue to practice and use training skills in home",True,"Unfamiliar dogs away from the home, Unfamiliar dogs in the home",True,"Fear of veterinary visits, Fear of other dogs",False,,False,,False,,False,,False,,,,True,Animal scent on ground,False,,False,,False,,False,,True,46de7f859965de8fb250fe50f3f5a568,,, ,5/7/2020 15:57:49,ack77nkajkx15l5ifnack77pqqww96up
Cay,Female,Yes,24.0,False,No,,,Yes,Mixed balance of both reward and discipline,Myself/family member attended group classes,"Continue to practice and use training skills in home, Continue to attend classes periodically (nose work, agility, trick training, etc.)",False,,True,Travel anxiety,False,,True,"At triggers (inside), At triggers (outside), Owners are present",False,,False,,False,,,,False,,False,,False,,True,"Escapes from home, Escaped when out, Returns home after escape",False,,False,6b083cb83b81d443017ab058f49936cc,,, ,5/7/2020 15:58:37,1aixdb4pigywyc6kdx5m1aix1sqp4l99
Coda,Male,Yes,91.0,False,I don't know,,,Yes,Mixed balance of both reward and discipline,"Myself/family member attended group classes, Sent to professional training school/boot camp","6 to 18 months (adolescence), 18-36 months (social maturity), Continue to attend classes periodically (nose work, agility, trick training, etc.), Continue to practice and use training skills in home",True,"Familiar dogs in the home, Unfamiliar dogs away from the home, Animals other than dogs, Unfamiliar dogs in the home",True,"Fear of other dogs, Separation anxiety",True,"Familiar people, Stangers",True,"At triggers (outside), Owners are present",True,"Dog feces other than their own, The feces of other animals",False,,False,,,,True,"Urine, Feces, Dead stuff",False,,False,,True,"Escaped when out, Returns home after escape",False,,True,01f09881fb038ee28ab0ef02aa80d87a,,, ,5/7/2020 16:04:20,gvhtd954z495ye5df6m513gvhtd95pkl
Oliver,Male,Yes,108.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,"6 to 18 months (adolescence), Continue to practice and use training skills in home",False,,True,"Fear of veterinary visits, Generalized anxiety",False,,False,,False,,True,"Licking floors, furniture",False,,,,True,Animal scent or bird poop,False,,False,,False,,False,,False,46de7f859965de8fb250fe50f3f5a568,We have submissions for:,,", ",5/7/2020 16:02:04,ehqaef5uaq442rk0ehqaes7djwc673au
Sukie,Female,Yes,72.0,False,I don't know,,,Yes,Reward based,"Myself/family member attended group classes, Hired in home private trainer","6 to 18 months (adolescence), 18-36 months (social maturity), Continue to attend classes periodically (nose work, agility, trick training, etc.), Continue to practice and use training skills in home",True,"Familiar dogs in the home, Familiar dogs away from the home, Unfamiliar dogs in the home, Unfamiliar dogs away from the home, Animals other than dogs",True,"Fear of veterinary visits, Fear of noises, Fear of thunderstorms, Fear of other dogs, Fear of crowds",False,,False,,True,The feces of other animals,False,,True,"Owners are present, Owners are away",Both feces and urine,Anywhere,False,,True,"Impulsiveness, Difficulty settling",True,Owner is away,True,"Escapes from home, Escaped when out, Escapes from confinement, Returns home after escape",False,,False,01f09881fb038ee28ab0ef02aa80d87a,We have submissions for:,,", ",5/7/2020 16:07:36,388aw330u4eu9gpvvd5co0igtz3388aw
Zeus,Male,Yes,19.0,False,No,,,Yes,Reward based,Myself/family member attended group classes,6 to 18 months (adolescence),True,Strangers away from the home,True,"Fear of crowds, Generalized anxiety, Fear of noises",False,,True,"At triggers (inside), At triggers (outside), Owners are away, To get attention",True,"Their own feces, Dog feces other than their own",True,"Stone/rock chewing, Licking of the wrist/hock",False,,,,False,,True,Impulsiveness,False,,False,,False,,False,d6ae59b3af665cf852b53819fe7fbb24,,, ,5/7/2020 16:20:22,dtr0ao3bblwdtr0onp3rezj94y11wwui
Koji,Male,Yes,29.0,True,No,,,No,,,,True,Resource Guards,True,"Fear of crowds, Fear of veterinary visits, Fear of noises",False,,False,,False,,False,,False,,,,True,"Feces, Dead stuff",False,,False,,False,,True,Inanimate objects,False,b1d9db891fcf0f8191b06d0654b113e0,,, ,5/7/2020 16:49:45,rutfab5fv526yxlzaqccprutfabwaerc
Micha,Female,Yes,139.0,False,I don't know,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,e423abfc8172a8071eed71e5bb9330be,,, ,5/7/2020 16:55:53,0mms8omcljfmjf640m2smxrx5us4g3y4
Bear,Male,Yes,51.0,False,I don't know,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,e423abfc8172a8071eed71e5bb9330be,We have submissions for:,,", ",5/7/2020 16:57:38,qm98yzaftq97kdfns341qm98qu7z6u6g
Riley,Female,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,5cc508242498445d9ca93d464c40a5d1,,, ,5/7/2020 17:03:39,5ctodx61uhjp0vc5cto0stpvanufeut4
Rusko,Male,Yes,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,5cc508242498445d9ca93d464c40a5d1,We have submissions for:,,", ",5/7/2020 17:04:03,iip8l4d7r3wclswljnlgbiip8l4d7qzc
Otis,Male,Yes,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,65f13ddd125d291f4d2180f340fad527,,, ,5/7/2020 17:09:57,iz0qqir5dsk4o6o4t6iz0qzqge7h8adz
Ivy,Female,Yes,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,65f13ddd125d291f4d2180f340fad527,We have submissions for:,,", ",5/7/2020 17:10:23,nqastgle8e3cgkvrnq72s6o0091x2jpg
Crash,Male,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,3f1f5bc6aa8a0476c3b8a8bb2f9fe59c,,, ,5/7/2020 17:25:33,o81cxuddtrqmna59yo812n0iji8t745h
Cogadh,Male,Yes,41.0,False,No,,,Yes,Reward based,Myself/family member attended group classes,"18-36 months (social maturity), Continue to practice and use training skills in home",True,Veterinarians,True,"Separation anxiety, Post-traumatic Stress Disorder (PTSD)",False,,True,"At triggers (inside), At triggers (outside), Owners are away",False,,True,Pacing in crate ,False,,,,False,,True,"Difficulty settling, Constant moving/jumping, Easily distracted",False,,False,,False,,True,0c13d4bb36d941cef1bbeedab82580c2,,, ,5/7/2020 17:49:50,p3g18fmyvb90zsmjymxfhp3g18ffcf4l
Shayna,Female,Yes,13.0,True,Yes,Reward based,Myself/family member attended group classes,Yes,Reward based,Myself/family member attended group classes,Continue to practice and use training skills in home,False,,True,Fear of crowds,True,Familiar people,False,,False,,False,,False,,,,False,,False,,False,,False,,False,,True,ea6f8daffd34f10e65b4e9b76cb743d1,,, ,5/7/2020 17:55:04,uvvcsxjmdnriq1cqkuvvcsoi0ix3eh5x
Josie,Female,Yes,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,ea6f8daffd34f10e65b4e9b76cb743d1,We have submissions for:,,", ",5/7/2020 17:56:08,gf7hxi465ahvw28gf7hzegwem7m75g1p
Elton,Male,Yes,23.0,False,No,,,Yes,Reward based,Hired in home private trainer,"Continue to practice and use training skills in home, Continue to attend classes periodically (nose work, agility, trick training, etc.)",True,Familiar people in the home,True,"Generalized anxiety, Post-traumatic Stress Disorder (PTSD)",True,"Owners, Familiar people, Stangers",True,"At triggers (inside), At triggers (outside), Owners are present, Owners are away, To get attention, During car rides",True,The feces of other animals,True,Pacing around house in repetitive pattern ,False,,,,False,,True,"Difficulty settling, Constant moving/jumping, Impulsiveness, Easily distracted",True,"Owner is present, Owner is away",False,,False,,False,4d1e6d42eadb807acdd5fea6588de07d,,, ,5/7/2020 18:18:07,3oxrz5kmw8wdjbxc7r7t3oxrz5kt64i2
